[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/contrib/contenttypes/forms.py first seen with mtime 1719098029.542566
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Users/seyonsatheesh/Seyon/FBLA 2024/Web/ventike/api/models.py first seen with mtime 1719101304.5042946
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/db/models/sql/query.py first seen with mtime 1719098030.037214
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/rest_framework/utils/urls.py first seen with mtime 1719098030.8293614
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/constants.py first seen with mtime 1675782615.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/array.cpython-311-darwin.so first seen with mtime 1675782872.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/mimetypes.py first seen with mtime 1675782614.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/db/models/functions/text.py first seen with mtime 1719098030.036168
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/utils/itercompat.py first seen with mtime 1719098030.0662417
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/email/generator.py first seen with mtime 1675782615.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/email/header.py first seen with mtime 1675782615.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/threads.py first seen with mtime 1675782615.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/email/policy.py first seen with mtime 1675782615.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/platform.py first seen with mtime 1675782614.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/db/migrations/utils.py first seen with mtime 1719098030.028018
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/sqlparse/formatter.py first seen with mtime 1719098029.1222262
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/rest_framework/utils/humanize_datetime.py first seen with mtime 1719098030.8285065
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/unittest/result.py first seen with mtime 1675782616.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/events.py first seen with mtime 1675782615.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/rest_framework/checks.py first seen with mtime 1719098030.7818696
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/wsgiref/handlers.py first seen with mtime 1675782616.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/sqlparse/engine/grouping.py first seen with mtime 1719098029.1232815
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/http/request.py first seen with mtime 1719098030.053388
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/http/client.py first seen with mtime 1675782615.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/template/loaders/filesystem.py first seen with mtime 1719098030.0588753
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/utils/dateparse.py first seen with mtime 1719098030.0639775
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/email/_encoded_words.py first seen with mtime 1675782615.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/db/backends/postgresql/features.py first seen with mtime 1719098030.0241709
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/db/models/functions/window.py first seen with mtime 1719098030.036276
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/contrib/messages/storage/base.py first seen with mtime 1719098029.7895675
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/db/models/fields/related_descriptors.py first seen with mtime 1719098030.034182
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/contrib/contenttypes/models.py first seen with mtime 1719098029.5427418
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/sqlparse/filters/right_margin.py first seen with mtime 1719098029.1241393
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/middleware/__init__.py first seen with mtime 1719098030.0536098
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/email/contentmanager.py first seen with mtime 1675782615.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/db/models/functions/__init__.py first seen with mtime 1719098030.0347466
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/email/encoders.py first seen with mtime 1675782615.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/base_tasks.py first seen with mtime 1675782615.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/rest_framework/schemas/generators.py first seen with mtime 1719098030.8088968
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/contrib/auth/base_user.py first seen with mtime 1719098029.4919891
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/core/checks/files.py first seen with mtime 1719098030.004771
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/views/generic/list.py first seen with mtime 1719098030.0731063
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/string.py first seen with mtime 1675782614.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/utils/autoreload.py first seen with mtime 1719098030.0630467
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/hashlib.py first seen with mtime 1675782614.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/email/mime/base.py first seen with mtime 1675782615.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_typing.cpython-311-darwin.so first seen with mtime 1675782872.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/html/entities.py first seen with mtime 1675782615.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/contrib/staticfiles/management/commands/runserver.py first seen with mtime 1719098030.000204
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Users/seyonsatheesh/Seyon/FBLA 2024/Web/ventike/api/admin.py first seen with mtime 1719098531.3284879
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/graphlib.py first seen with mtime 1675782614.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/selector_events.py first seen with mtime 1675782615.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/views/decorators/debug.py first seen with mtime 1719098030.0714717
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/contrib/staticfiles/finders.py first seen with mtime 1719098029.9987602
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/html/parser.py first seen with mtime 1675782615.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/contrib/admindocs/utils.py first seen with mtime 1719098029.4468312
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/contrib/admin/apps.py first seen with mtime 1719098029.3259273
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/utils/regex_helper.py first seen with mtime 1719098030.067106
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/core/files/storage/memory.py first seen with mtime 1719098030.0084584
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/core/files/temp.py first seen with mtime 1719098030.007285
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/db/backends/base/validation.py first seen with mtime 1719098030.0200045
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/contrib/admin/sites.py first seen with mtime 1719098029.3275194
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/fcntl.cpython-311-darwin.so first seen with mtime 1675782873.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/sqlparse/filters/tokens.py first seen with mtime 1719098029.124253
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/utils/module_loading.py first seen with mtime 1719098030.066807
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/core/mail/utils.py first seen with mtime 1719098030.0104985
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/select.cpython-311-darwin.so first seen with mtime 1675782874.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/db/transaction.py first seen with mtime 1719098030.0178802
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/sslproto.py first seen with mtime 1675782615.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/db/models/options.py first seen with mtime 1719098030.0313134
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/db/backends/base/creation.py first seen with mtime 1719098030.019135
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/subprocess.py first seen with mtime 1675782615.0
